,away_FT_goals,away_atk,away_corners,away_def,away_formation,away_fouls,away_gk,away_mid,away_red,away_shots,away_shots_target,away_team,away_yellow,date,home_FT_goals,home_atk,home_corners,home_def,home_formation,home_fouls,home_gk,home_mid,home_red,home_shots,home_shots_target,home_team,home_yellow,B365A,B365H,B365D
212,0,,4,,,7,,,1,10,2,Hibernian,2,2011-05-06,1,,6,,,6,,,0,13,7,Hamilton,0,,,
213,1,,6,,,2,,,0,7,3,St Johnstone,0,2011-05-06,0,,3,,,8,,,0,2,1,Aberdeen,1,,,
214,0,,5,,,12,,,0,1,0,Motherwell,2,2011-05-06,2,,5,,,6,,,0,14,8,Dundee United,0,,,
215,1,,5,,,17,,,0,9,2,Celtic,2,2011-05-07,0,,2,,,11,,,0,3,1,Kilmarnock,2,,,
216,0,,5,,,14,,,0,3,2,St Mirren,1,2011-05-09,0,,1,,,16,,,0,4,1,Aberdeen,2,,,
217,0,,4,,,11,,,0,8,3,Dundee United,0,2011-05-09,2,,5,,,9,,,0,13,7,Rangers,0,,,
218,0,,2,,,9,,,1,6,3,Hamilton,1,2011-05-09,1,,7,,,4,,,0,7,4,St Johnstone,0,,,
219,1,,5,,,14,,,1,13,9,Celtic,2,2011-05-10,0,,3,,,19,,,1,4,2,Hearts,3,,,
220,0,,8,,,10,,,0,11,3,Hibernian,0,2011-05-10,1,,6,,,9,,,0,7,6,Inverness C,0,,,
221,0,,7,,,3,,,0,14,12,Kilmarnock,1,2011-05-10,1,,3,,,13,,,0,7,6,Motherwell,1,,,
222,1,,2,,,14,,,0,2,2,Inverness C,1,2011-05-13,0,,6,,,11,,,0,6,3,Hamilton,1,,,
223,0,,7,,,10,,,0,11,10,Aberdeen,0,2011-05-13,1,,5,,,11,,,0,15,7,Hibernian,2,,,
224,0,,2,,,18,,,0,11,2,St Johnstone,1,2011-05-13,0,,4,,,11,,,0,11,4,St Mirren,0,,,
225,3,,8,,,14,,,0,15,10,Rangers,2,2011-05-14,0,,3,,,16,,,0,14,10,Kilmarnock,2,,,
226,1,,3,,,8,,,0,4,4,Hearts,3,2011-05-14,1,,10,,,3,,,0,10,5,Dundee United,2,,,
227,0,,3,,,13,,,0,6,1,Motherwell,1,2011-05-14,2,,9,,,7,,,0,22,15,Celtic,1,,,
228,0,,5,,,13,,,0,6,2,St Johnstone,2,2011-07-22,0,,14,,,7,,,1,9,4,Aberdeen,1,,,
229,0,,6,,,12,,,0,11,2,Inverness C,1,2011-07-22,2,,5,,,12,,,0,12,7,Motherwell,3,,,
230,1,,4,,,13,,,0,10,8,Hearts,1,2011-07-22,0,,4,,,9,,,0,7,4,Rangers,1,,,
231,1,,6,,,15,,,0,6,4,Celtic,0,2011-07-23,0,,0,,,15,,,0,0,0,Hibernian,1,,,
232,0,,10,,,8,,,0,9,4,Kilmarnock,1,2011-07-23,0,,13,,,7,,,0,11,4,Dundee United,1,,,
233,0,,9,,,18,,,0,16,7,St Mirren,2,2011-07-24,0,,2,,,17,,,0,5,1,Dunfermline,3,,,
234,0,,4,,,9,,,0,5,4,Hibernian,1,2011-07-29,0,,8,,,3,,,0,10,2,Inverness C,0,,,
235,0,,14,,,6,,,0,5,3,Motherwell,0,2011-07-29,0,,7,,,5,,,0,10,4,Kilmarnock,0,,,
236,1,,6,,,15,,,0,12,10,Rangers,1,2011-07-29,0,,2,,,9,,,0,10,4,St Johnstone,1,,,
237,0,,1,,,17,,,0,7,5,Aberdeen,4,2011-07-29,0,,7,,,10,,,0,12,5,St Mirren,3,,,
238,1,,6,,,10,,,0,5,2,Dundee United,1,2011-07-30,0,,9,,,8,,,0,8,2,Hearts,1,,,
239,1,,1,,,9,,,1,7,4,St Mirren,3,2011-08-05,0,,9,,,9,,,0,26,10,Dundee United,1,,,
