Player,Season,Rating
David Raven,12,58
Paul McGowan,13,67
Lionel Ainsworth,14,65
Barry Robson,14,66
Fraser Forster,14,75
Liam Hughes,16,57
Jordan McGhee,16,58
David Goodwillie,14,67
Rory Fallon,13,60
Sean Dillon,12,67
Abdul Osman,16,66
Jozo Simunovic,16,66
Jackson Irvine,16,61
Gavin Morrison,12,56
Paul McGowan,14,65
Lionel Ainsworth,13,60
Nadir Ciftci,13,64
Barry Robson,13,66
Dougie Imrie,12,60
Erik Sviatchenko,16,74
Joe Shaughnessy,12,57
Willo Flood,15,65
Ben Hall,15,65
Manuel Pascali,14,64
Jamie Hamill,14,63
Danny Williams,15,60
Joe Shaughnessy,13,59
Tim Clancy,12,62
Paul Hanlon,12,60
Danny Williams,16,70
Paul Cairney,13,63
Andrew Considine,15,61
Rami Gershon,13,67
Jon Robertson,13,58
Antons Kurakins,16,58
Sean Welsh,15,60
Christie Elliot,15,60
Russell Anderson,12,65
Scott Allan,16,66
Steven Saunders,15,61
Kallum Higginbotham,14,65
Jon Daly,13,68
Gary Warren,13,61
Prince Buaben,16,62
Virgil van Dijk,14,74
Billy King,13,58
Ryan Edwards,16,61
Paul McGowan,12,70
Henri Anier,16,61
David Amoo,16,66
Adam Rooney,15,69
Peter Pawlett,14,66
Alan Gow,15,63
Lee Mair,13,60
Adam Frizzell,16,53
Henri Anier,15,62
Ryan Conroy,13,62
Stefan Johansen,16,72
Mikael Lustig,16,72
Callum Paterson,14,62
Mark Kerr,12,66
Steven Lawless,16,66
Calvin Colquhoun,16,53
Jake Jervis,14,64
Jake Carroll,14,60
Ryan Edwards,15,59
Kallum Higginbotham,13,63
Georgios Samaras,12,68
Anthony Stokes,14,71
Rory McKenzie,14,59
Andrew Considine,14,63
Brian Easton,15,64
Michael Hector,13,61
Stuart Kettlewell,14,61
Luke Watt,16,53
Jamie MacDonald,14,67
Ross Draper,14,64
Alan Mannus,13,66
Ryan Jack,13,62
John Rankin,14,63
Martin Canning,15,61
Graham Cummins,16,60
Nir Bitton,15,70
Marcus Fraser,15,56
Scott Robinson,14,60
Gary Dicker,16,64
Edward Ofere,16,65
Sean Dillon,16,62
Abiola Dauda,16,67
Antonio Reguero Chapinal,15,61
Alex Schalk,16,64
Scott Vernon,12,69
James McPake,15,62
Liam Gordon,16,52
Greg Stewart,15,62
Ross Draper,13,62
Paul Heffernan,12,67
Paul McGowan,16,67
Conrad Balatoni,16,62
Gary Harkins,16,66
John Sutton,14,67
Perry Kitchen,16,70
Graeme Shinnie,13,67
Florent Sinama-Pongolle,16,68
Kris Boyd,13,66
Igor Rossi,16,65
Thomas Reilly,13,56
Lee Erwin,14,52
Kieran Sadlier,15,54
Kyle Knoyle,16,57
Aaron Splaine,15,54
Curtis Good,14,61
Jeroen Tesselaar,15,62
Simon Ferry,14,61
James Collins,13,74
Michael Nelson,13,61
Aaron Kuhl,15,60
Branislav Micic,13,55
Brian Graham,15,60
Steven MacLean,13,60
Jake Jervis,15,61
Henrik Ojamaa,13,69
Gavin Gunning,15,62
Gary Dicker,16,64
Keith Lasley,12,67
John Souttar,14,60
Sam Morrow,13,56
Ryan Esson,13,60
Stewart Murdoch,16,56
Paul Quinn,16,65
Alan Martin,16,60
Gary Teale,13,63
Marian Kello,14,66
Gregory Tade,12,69
Ben Richards-Everton,15,57
Miles Storey,15,58
Callum Tapping,13,58
Kieran MacDonald,15,60
Henrik Ojamaa,14,66
Luke Johnston,13,51
Dale Carrick,14,55
Josh Meekings,16,67
Paul Heffernan,13,68
Ben Williams,12,57
Kane Hemmings,15,60
David Goodwillie,16,68
Scott Fox,15,61
Greg Docherty,15,52
Ryan McLaughlin,15,58
Mark Millar,13,62
Emilio Izaguirre,15,73
Marc McAusland,14,61
Mark O'Brien,14,68
Aidan Nesbitt,16,53
Gary Mackay-Steven,13,73
Craig Moore,15,54
Jason Naismith,15,62
Plamen Krachunov,16,55
Vitalijs Maksimenko,14,58
Scott Robinson,13,61
Barry Douglas,13,61
Alan Maybury,14,58
Dedryck Boyata,15,67
Steven Thompson,14,67
Scott Boyd,16,61
Aaron Doran,14,68
Chris Humphrey,13,67
Gary Mackay-Steven,14,70
Tom Rogic,16,70
Nick Ross,15,62
Anthony Stokes,15,70
Andrew Considine,13,65
Mark Reynolds,15,69
John Rankin,12,67
Mehdi Abeid,13,61
Erik Sviatchenko,16,74
Craig Slater,13,51
Justin Johnson,16,58
Edward Ofere,16,65
James Craigen,14,60
Mark Ridgers,15,58
Henri Anier,14,65
Steven Thompson,15,65
Louis Moult,16,61
James Forrest,12,73
Luke Watt,16,53
Patrick Roberts,16,66
Manuel Pascali,13,66
Edward Ofere,15,65
Antons Kurakins,16,58
Callum Davidson,13,62
Alan Martin,16,60
Craig Moore,14,53
Craig Slater,14,53
Mikael Lustig,13,72
Aidan Connolly,15,59
Lewis Guy,13,60
Daniel Redmond,16,62
Carlton Morris,16,59
Jeroen Tesselaar,12,62
John Sutton,13,64
Michael McGovern,15,64
Graham Cummins,16,60
Morgaro Gomis,16,64
Ross Caldwell,13,53
Kris Commons,14,75
Mark Brown,12,61
Craig Storie,13,51
Miku,13,71
Stuart Armstrong,12,66
Coll Donaldson,16,61
Patrick Roberts,16,66
Gary Irvine,15,61
Paul Paton,14,62
James Collins,14,74
Michael Nelson,14,62
Stefan Johansen,16,72
Teemu Pukki,13,72
Liam Boyce,16,66
Richie Foran,14,67
Michael Doughty,13,55
Paul Quinn,15,64
Patrick Cregg,14,58
Mark Reynolds,13,65
James Fowler,13,63
Willo Flood,14,65
James Fowler,12,63
David Ferguson,14,54
Marvin Johnson,15,59
Lee McCulloch,15,63
Sean Murdoch,13,59
Eoin Doyle,13,65
Adam Taggart,15,67
Grant Gillespie,15,58
Jeroen Tesselaar,14,63
Paul McGinn,15,57
Russell Anderson,14,66
David Barron,12,57
Liam Gordon,16,52
Gramoz Kurtaj,16,60
Peter Pawlett,16,68
Lee Mair,12,62
Kyle Jacobs,13,56
Gary Harkins,12,67
Alan Mannus,16,68
Michael Ngoo,13,64
Greg Docherty,16,53
Joe Shaughnessy,14,59
Emilio Izaguirre,12,74
Kane Hemmings,16,65
Ryan McGivern,13,64
Callum Booth,15,61
Nathaniel Wedderburn,16,57
Craig Curran,15,59
Juan Delgado,15,69
Jeroen Tesselaar,13,64
Andrew Driver,12,68
Matthew Kennedy,12,43
Lewis Morgan,15,54
Andre Blackman,12,54
Scott Robertson,13,64
Jonathan Page,12,62
Liam Lindsay,16,59
Simon Murray,16,60
John Rankin,16,63
Kris Boyd,15,69
Tarmo Kink,15,65
Patrick Cregg,13,63
Aaron Doran,13,70
Oumar Diaby,16,56
Jamie Langfield,15,65
Ryan McGivern,12,64
Stephen O'Donnel,13,58
Murray Davidson,14,66
Stephen Pearson,15,63
Colin Nish,13,62
Kostadin Gadzhalov,16,57
Kris Doolan,14,62
Prince Buaben,14,64
Lewis Horner,16,54
Lee Erwin,15,58
Lee Croft,15,63
Kevin McBride,13,62
Adam Rooney,16,71
Nicky Low,15,59
Daryll Meggatt,16,53
Greg Tansey,14,61
James McPake,16,63
Sammy Clingan,14,63
Stephen O'Donnel,14,58
Rowan Vine,13,63
Dylan McGeouch,13,63
Sam Nicholson,16,65
Craig Moore,13,53
Michael McGovern,16,66
Rhys Healey,15,60
Mikael Lustig,14,74
Marvin Johnson,16,65
Barry Nicholson,13,62
Steven Lawless,14,60
Darren McGregor,12,67
Nicky Low,14,58
James McFadden,15,65
Kevin Thomson,15,60
Gary Naysmith,12,64
Billy McKay,14,71
Andrew Considine,16,64
Mark Wilson,14,60
Chris Millar,16,62
Rowan Vine,12,62
Ben Williams,13,56
Jamie MacDonald,16,67
Willo Flood,12,63
Fraser Forster,12,72
Ross Draper,16,65
Stephen Pearson,16,64
Patrick Cregg,12,62
Stuart Bannigan,15,64
Nick Ross,13,64
Neil Alexander,16,64
Greg Kiltie,16,58
John Sutton,12,67
Steven Hammell,16,64
Nadir Ciftci,16,70
Darnell Fisher,16,59
James Dayton,12,68
Steven Anderson,14,66
Niall McGinn,12,63
Keith Watson,14,61
Blair Spittal,16,63
David Raven,15,62
Gary Deegan,13,63
Michael O'Halloran,15,66
James Vincent,15,61
David Wotherspoon,16,65
Lee Croft,14,63
Justin Johnson,16,58
Ross Barbour,14,56
Kostadin Gadzhalov,15,55
Mikael Lustig,15,75
Calum Butcher,15,60
Ryan Dow,14,64
Jackson Irvine,16,61
Darko Bodul,15,65
Jim Fenlon,14,57
Jack Hamilton,16,59
Theo Robinson,15,63
Thomas Reilly,12,52
Frazer Wright,12,66
Marley Watkins,14,56
Lionel Ainsworth,15,68
Simon Ramsden,15,63
Graeme Shinnie,12,61
Steven Ross,13,54
James Dayton,15,66
Gary Irvine,13,61
Steven Hammell,13,68
Stuart Findlay,16,55
Liam Polworth,14,56
Ryan McGowan,16,68
Orhan Mustafi,13,59
Ross Draper,12,55
Barry Douglas,12,64
Sean Welsh,14,60
Callum Morris,15,62
Craig Samson,14,63
Daniel Redmond,15,62
Kenny McLean,16,70
Tom Taiwo,14,59
Robert McHugh,12,60
Kevin McHattie,13,55
Ryan Scully,16,57
Darnell Fisher,15,57
John McGinn,13,62
Steven Boyd,16,51
Steven MacLean,15,64
Mark Connolly,14,62
Daniel Seaborne,16,64
Gary Woods,15,64
Tyler Blackett,15,65
Steven Lawless,16,66
Jack Leitch,15,56
Mohamadou Sissoko,12,64
Alex Harris,15,62
Murray Davidson,13,70
Stewart Murdoch,15,55
Liam Polworth,15,57
Andrew Driver,15,65
Daniel Redmond,16,62
Mark O'Brien,15,66
Josh Magennis,16,63
Callum McGregor,15,66
Georgios Samaras,13,73
Harry Souttar,16,57
Andrew Davies,16,67
Steven Thompson,12,68
Euan Murray,14,52
Martin Woods,16,65
Thomas Rogne,12,68
Ryan Esson,14,59
Daniel Devine,16,62
Liam Craig,16,68
Iain Davidson,13,60
Scott McDonald,16,68
Dylan McGeouch,14,63
Gramoz Kurtaj,16,60
Mark Connolly,15,62
Calum Butcher,14,60
Kieran Kennedy,16,54
Tony Dingwall,15,56
Paul Gallacher,14,61
Kyle Knoyle,16,57
Erik Cikos,14,65
Alan Mannus,15,66
Dale Carrick,13,55
Sean Clohessy,14,60
Craig Murray,14,53
Keith Watson,13,62
Sean Kelly,14,56
Gary Deegan,12,63
John Guidetti,14,73
Scott Bain,15,62
James McFadden,13,72
Ivan Sproule,12,65
Ben Williams,14,58
Carlton Morris,15,57
Michael Hector,14,62
Brian McLean,12,63
Alan Mannus,16,68
David Mackay,13,63
Simon Murray,16,60
Steven Anderson,15,65
Lewis Moore,16,44
Luke Watt,15,49
Fraser Kerr,15,60
Simon Church,16,66
Sean Kelly,13,52
Kelvin Wilson,13,71
Ryan Stevenson,14,61
Morgaro Gomis,16,64
Michael Tidser,14,61
Gary Miller,15,61
Gunnar Nielsen,13,65
Scott Vernon,13,61
Craig Reid,15,59
Iain Vigurs,13,63
Mark O'Hara,16,60
Liam Polworth,16,59
Mark Durnan,16,61
Callum McGregor,16,67
Morgaro Gomis,14,64
Dale Keenan,14,50
Ryan Jack,12,62
Gary Mackay-Steven,12,68
Sean Dillon,13,62
Stephen McManus,13,66
Greg Tansey,16,67
Conor Brennan,15,50
David Wilson,15,50
Scott Vernon,14,62
Eamonn Brophy,16,58
Danny Racchi,12,58
Yoann Arquin,14,61
Gavin Gunning,13,64
Simon Lappin,15,63
Steven Hammell,14,68
Sander Puri,13,61
Shaun Hutchinson,12,65
Isaac Osbourne,14,63
Ryan Christie,16,66
Peter Pawlett,15,68
Garcia Tena,16,61
Louis Moult,16,61
Richard Brittain,15,65
Lee Ashcroft,16,63
Aaron Taylor-Sinclair,14,61
Jack Hamilton,16,59
Ryan Gauld,13,61
Liam Craig,14,67
Ryan Dow,12,59
Ross Draper,16,65
Gary Woods,16,65
Nigel Hasselbaink,13,65
Nadir Ciftci,15,68
Simon King,12,59
Darryl Westlake,14,62
James Forrest,15,70
Jamie MacDonald,12,65
Jim Goodwin,15,66
Dougie Imrie,15,61
Liam Grimshaw,16,48
Darren Barr,14,63
Mustapha Dumbuya,16,64
Aaron Muirhead,14,62
Melvin de Leeuw,14,60
Callum Paterson,16,67
Chris Chantler,15,59
David Wotherspoon,16,65
Darryl Westlake,15,60
Eiji Kawashima,16,69
Julen Etxabeguren,16,55
Miles Storey,16,60
Sammy Clingan,15,63
Conor Brennan,14,50
Gary McDonald,13,60
Brian Easton,12,64
Lee Hollis,13,60
Miles Addison,16,63
Connor Ripley,16,62
John McGinn,14,64
Michael Gardyne,13,61
Tomas Rogic,15,65
Alex Cooper,14,57
Tim Clancy,13,61
Kyle Letheren,13,56
James McPake,12,63
Brian McLean,14,57
Paul Quinn,14,63
Emilio Izaguirre,16,71
Nick Ross,16,63
Zaine Francis-Angol,14,57
Iain Vigurs,15,67
Gary McDonald,14,60
Gary Warren,14,65
Lewis Stevenson,13,61
Stefan Scepovic,15,69
Lee Miller,14,64
Virgil van Dijk,13,71
Brian Graham,14,61
Kieran Tierney,16,64
Steven Lawless,15,65
Darren Lyon,16,56
Miles Storey,16,60
Graham Carey,13,62
David Cornell,13,58
Steven Boyd,16,51
